Common name,Scientific name,Status,No.,No. Back
Taiwan Bamboo Partridge,Bambusicola sonorivox,,28,14
Green Junglefowl,Gallus varius,,28,5
Red Junglefowl,Gallus gallus,,157,801
Grey Junglefowl,Gallus sonneratii,,66,22
Sri Lanka Junglefowl,Gallus lafayettii,,31,23
Latham's Francolin,Peliperdix lathami,,15,5
Crested Francolin,Ortygornis sephaena,,78,36
Grey Francolin,Ortygornis pondicerianus,,82,66
Swamp Francolin,Ortygornis gularis,,12,1
Chinese Francolin,Francolinus pintadeanus,,52,24
Black Francolin,Francolinus francolinus,,82,25
Painted Francolin,Francolinus pictus,,24,16
Coqui Francolin,Campocolinus coqui,,31,5
White-throated Francolin,Campocolinus albogularis,,18,0
Schlegel's Francolin,Campocolinus schlegelii,,0,0
Ring-necked Francolin,Scleroptila streptophora,,0,0
Red-winged Francolin,Scleroptila levaillantii,,27,2
Finsch's Francolin,Scleroptila finschi,,2,0
Moorland Francolin,Scleroptila psilolaema,,6,0
Grey-winged Francolin,Scleroptila afra,,17,3
Orange River Francolin,Scleroptila gutturalis,,29,23
Shelley's Francolin,Scleroptila shelleyi,,30,1
Tibetan Snowcock,Tetraogallus tibetanus,,20,2
Altai Snowcock,Tetraogallus altaicus,,21,9
Caucasian Snowcock,Tetraogallus caucasicus,,24,4
Caspian Snowcock,Tetraogallus caspius,,14,1
Himalayan Snowcock,Tetraogallus himalayensis,,17,9
See-see Partridge,Ammoperdix griseogularis,,7,1
Sand Partridge,Ammoperdix heyi,,10,3
Brown Quail,Synoicus ypsilophorus,,19,6
Snow Mountain Quail,Synoicus monorthonyx,,3,0
King Quail,Synoicus chinensis,,9,0
Blue Quail,Synoicus adansonii,,0,0
Madagascar Partridge,Margaroperdix madagarensis,,0,0
Common Quail,Coturnix coturnix,,1265,328
Japanese Quail,Coturnix japonica,,53,13
Harlequin Quail,Coturnix delegorguei,,34,7
Rain Quail,Coturnix coromandelica,,33,0
